epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,53.6222,1.31562,2.46457,1.51347,0.45651,0.5108,0.52202,0.34844,1.19997,2.48874,1.55592,0.000493103,0.000493103,0.000493103
43,54.4208,1.15682,2.2382,1.38875,0.45651,0.5108,0.52202,0.34844,1.19997,2.48874,1.55592,0.00049657,0.00049657,0.00049657
44,55.3195,1.40121,2.49432,1.51338,0.51784,0.59319,0.57331,0.3829,1.15757,2.72258,1.50652,0.000499641,0.000499641,0.000499641
45,56.5077,1.36836,2.27637,1.51101,0.51784,0.59319,0.57331,0.3829,1.15757,2.72258,1.50652,0.000502316,0.000502316,0.000502316
46,57.6537,1.30085,2.30499,1.44633,0.67651,0.5815,0.61867,0.43316,1.08876,2.93971,1.45907,0.000504595,0.000504595,0.000504595
47,58.6789,1.32497,2.41196,1.64722,0.67651,0.5815,0.61867,0.43316,1.08876,2.93971,1.45907,0.000506478,0.000506478,0.000506478
48,59.505,1.4266,2.50514,1.63808,0.79192,0.57045,0.66463,0.45649,1.11355,2.74348,1.51697,0.000507965,0.000507965,0.000507965
49,60.3194,1.22574,2.16769,1.38142,0.79192,0.57045,0.66463,0.45649,1.11355,2.74348,1.51697,0.000509056,0.000509056,0.000509056
50,61.1878,1.5471,2.78641,2.01323,0.81805,0.54048,0.67662,0.46158,1.09906,2.5493,1.522,0.000509751,0.000509751,0.000509751
51,62.016,1.59112,2.92479,1.77596,0.81805,0.54048,0.67662,0.46158,1.09906,2.5493,1.522,0.000505,0.000505,0.000505
52,62.8648,1.22701,2.11152,1.39858,0.83404,0.55463,0.70651,0.49765,1.04627,2.30958,1.42827,0.0004951,0.0004951,0.0004951
53,63.6556,1.40926,2.45007,1.6858,0.83404,0.55463,0.70651,0.49765,1.04627,2.30958,1.42827,0.0004852,0.0004852,0.0004852
54,64.4929,1.1601,2.04084,1.39242,0.81683,0.60682,0.74663,0.53389,0.96885,1.95673,1.34863,0.0004753,0.0004753,0.0004753
55,65.3799,1.44745,2.64689,1.64792,0.81683,0.60682,0.74663,0.53389,0.96885,1.95673,1.34863,0.0004654,0.0004654,0.0004654
56,66.2243,1.23226,2.03479,1.45289,0.76179,0.62501,0.7504,0.53072,0.99748,1.77813,1.35511,0.0004555,0.0004555,0.0004555
57,67.0576,1.32482,2.42983,1.51172,0.76179,0.62501,0.7504,0.53072,0.99748,1.77813,1.35511,0.0004456,0.0004456,0.0004456
58,68.0248,1.27532,2.34544,1.5198,0.85777,0.63628,0.7763,0.5319,1.05507,1.69486,1.39105,0.0004357,0.0004357,0.0004357
59,69.0892,1.09217,2.02104,1.25133,0.85777,0.63628,0.7763,0.5319,1.05507,1.69486,1.39105,0.0004258,0.0004258,0.0004258
60,70.3491,0.88189,1.92773,1.15762,0.88495,0.69043,0.79053,0.55615,1.08724,1.65833,1.40217,0.0004159,0.0004159,0.0004159
61,71.1662,1.18204,2.02487,1.40776,0.88495,0.69043,0.79053,0.55615,1.08724,1.65833,1.40217,0.000406,0.000406,0.000406
62,72.0188,1.4171,2.25648,1.67043,0.86618,0.74018,0.79308,0.55346,1.06688,1.57158,1.36214,0.0003961,0.0003961,0.0003961
63,72.8006,0.98246,1.95858,1.24601,0.86618,0.74018,0.79308,0.55346,1.06688,1.57158,1.36214,0.0003862,0.0003862,0.0003862
64,73.63,1.13451,2.31403,1.56904,0.87307,0.74329,0.81153,0.55967,1.04581,1.50435,1.3482,0.0003763,0.0003763,0.0003763
65,74.4497,1.12488,1.91684,1.30024,0.87307,0.74329,0.81153,0.55967,1.04581,1.50435,1.3482,0.0003664,0.0003664,0.0003664
66,75.3091,1.00104,2.06994,1.31095,0.9474,0.76541,0.84369,0.59745,1.04488,1.37025,1.34439,0.0003565,0.0003565,0.0003565
67,76.1159,1.23532,1.9671,1.33604,0.9474,0.76541,0.84369,0.59745,1.04488,1.37025,1.34439,0.0003466,0.0003466,0.0003466
68,76.9749,1.21876,1.9543,1.40342,0.94699,0.76864,0.8572,0.62511,0.96289,1.25855,1.26934,0.0003367,0.0003367,0.0003367
69,77.9024,1.21328,1.87925,1.33121,0.94699,0.76864,0.8572,0.62511,0.96289,1.25855,1.26934,0.0003268,0.0003268,0.0003268
70,78.7422,1.1834,1.73782,1.33214,0.8994,0.8214,0.86697,0.66322,0.89415,1.17959,1.21699,0.0003169,0.0003169,0.0003169
71,79.5476,1.10368,1.75774,1.29064,0.8994,0.8214,0.86697,0.66322,0.89415,1.17959,1.21699,0.000307,0.000307,0.000307
72,80.6897,1.14395,2.21298,1.51599,0.9894,0.77323,0.87936,0.6941,0.82803,1.19579,1.18097,0.0002971,0.0002971,0.0002971
73,82.0123,1.56026,2.41213,1.81489,0.9894,0.77323,0.87936,0.6941,0.82803,1.19579,1.18097,0.0002872,0.0002872,0.0002872
74,82.8545,1.07506,1.83729,1.36769,0.85206,0.87603,0.87682,0.70577,0.78828,1.22897,1.16014,0.0002773,0.0002773,0.0002773
75,83.6588,0.92531,1.59057,1.20961,0.85206,0.87603,0.87682,0.70577,0.78828,1.22897,1.16014,0.0002674,0.0002674,0.0002674
76,84.5397,1.0273,1.78233,1.2702,0.93824,0.79883,0.8869,0.70958,0.77285,1.22594,1.1558,0.0002575,0.0002575,0.0002575
77,85.3458,1.00369,1.67357,1.26295,0.93824,0.79883,0.8869,0.70958,0.77285,1.22594,1.1558,0.0002476,0.0002476,0.0002476
78,86.2194,1.02821,1.80357,1.35825,0.82051,0.8724,0.88184,0.69725,0.78517,1.22798,1.15338,0.0002377,0.0002377,0.0002377
79,87.0318,1.04021,1.83472,1.31418,0.82051,0.8724,0.88184,0.69725,0.78517,1.22798,1.15338,0.0002278,0.0002278,0.0002278
80,87.8916,0.89292,1.6037,1.19138,0.86092,0.84899,0.88995,0.70254,0.77321,1.19085,1.13839,0.0002179,0.0002179,0.0002179
81,88.7311,1.03707,1.71401,1.25056,0.86092,0.84899,0.88995,0.70254,0.77321,1.19085,1.13839,0.000208,0.000208,0.000208
82,89.5643,1.07736,1.61801,1.26582,0.94155,0.86157,0.90841,0.72392,0.74485,1.15199,1.11847,0.0001981,0.0001981,0.0001981
83,90.389,1.00437,1.57923,1.20483,0.94155,0.86157,0.90841,0.72392,0.74485,1.15199,1.11847,0.0001882,0.0001882,0.0001882
84,91.22,0.87985,1.40692,1.1662,0.95843,0.83729,0.91521,0.74043,0.71856,1.13097,1.0933,0.0001783,0.0001783,0.0001783
85,92.1502,1.1152,1.75875,1.37024,0.95843,0.83729,0.91521,0.74043,0.71856,1.13097,1.0933,0.0001684,0.0001684,0.0001684
86,93.303,1.00975,1.56004,1.24271,0.95621,0.8354,0.91876,0.74179,0.70113,1.12804,1.08006,0.0001585,0.0001585,0.0001585
87,94.3021,0.95534,1.88195,1.32618,0.95621,0.8354,0.91876,0.74179,0.70113,1.12804,1.08006,0.0001486,0.0001486,0.0001486
88,95.1662,1.16911,1.59891,1.25017,0.95802,0.83452,0.9295,0.75432,0.67835,1.0691,1.0687,0.0001387,0.0001387,0.0001387
89,96.182,0.856,1.60654,1.25126,0.95802,0.83452,0.9295,0.75432,0.67835,1.0691,1.0687,0.0001288,0.0001288,0.0001288
90,97.0132,0.91684,1.45885,1.16701,0.93731,0.86652,0.93874,0.76055,0.67355,0.99846,1.06636,0.0001189,0.0001189,0.0001189
91,98.0043,0.90953,1.73282,1.24923,0.93731,0.86652,0.93874,0.76055,0.67355,0.99846,1.06636,0.000109,0.000109,0.000109
92,98.9942,0.96556,1.9155,1.45566,0.97927,0.8514,0.94457,0.78544,0.65453,0.97919,1.05628,9.91e-05,9.91e-05,9.91e-05
93,99.8103,0.77834,1.6351,1.09447,0.97927,0.8514,0.94457,0.78544,0.65453,0.97919,1.05628,8.92e-05,8.92e-05,8.92e-05
94,100.636,0.81404,1.70308,1.21774,0.96308,0.85829,0.95211,0.79144,0.63843,0.95883,1.04567,7.93e-05,7.93e-05,7.93e-05
95,101.44,0.8267,1.5626,1.23025,0.96308,0.85829,0.95211,0.79144,0.63843,0.95883,1.04567,6.94e-05,6.94e-05,6.94e-05
96,102.277,0.73496,1.75506,1.00325,0.94458,0.87545,0.95457,0.7904,0.63519,0.92971,1.0362,5.95e-05,5.95e-05,5.95e-05
97,103.063,0.93453,1.81765,1.27922,0.94458,0.87545,0.95457,0.7904,0.63519,0.92971,1.0362,4.96e-05,4.96e-05,4.96e-05
98,103.872,1.06644,1.74203,1.3137,0.94078,0.89149,0.96278,0.80218,0.63111,0.90756,1.03476,3.97e-05,3.97e-05,3.97e-05
99,104.928,0.63921,1.78978,1.06336,0.94078,0.89149,0.96278,0.80218,0.63111,0.90756,1.03476,2.98e-05,2.98e-05,2.98e-05
100,106.085,0.88249,1.68744,1.25232,0.93644,0.89484,0.96278,0.80568,0.62389,0.90252,1.03196,1.99e-05,1.99e-05,1.99e-05
