epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,202.516,0.72173,0.65423,1.15736,0.8801,1,0.98333,0.85824,0.57671,0.4736,1.1467,0.0001783,0.0001783,0.0001783
85,203.936,0.80513,0.92495,1.2467,0.8801,1,0.98333,0.85824,0.57671,0.4736,1.1467,0.0001684,0.0001684,0.0001684
86,205.362,0.90377,0.83672,1.33176,0.88383,0.98999,0.98406,0.85901,0.57076,0.46477,1.13939,0.0001585,0.0001585,0.0001585
87,206.853,0.80263,0.83369,1.21813,0.88383,0.98999,0.98406,0.85901,0.57076,0.46477,1.13939,0.0001486,0.0001486,0.0001486
88,208.559,0.87859,0.78279,1.14258,0.94803,0.91875,0.98406,0.85632,0.56174,0.45555,1.1328,0.0001387,0.0001387,0.0001387
89,210.039,1.03655,0.84237,1.51168,0.94803,0.91875,0.98406,0.85632,0.56174,0.45555,1.1328,0.0001288,0.0001288,0.0001288
90,211.841,0.66947,0.65442,1.07187,0.90029,0.98622,0.9849,0.86902,0.54547,0.44401,1.12246,0.0001189,0.0001189,0.0001189
91,213.496,0.78193,0.58925,1.30862,0.90029,0.98622,0.9849,0.86902,0.54547,0.44401,1.12246,0.000109,0.000109,0.000109
92,215.19,0.8314,0.843,1.3575,0.90147,0.98817,0.9849,0.87516,0.52675,0.44048,1.11275,9.91e-05,9.91e-05,9.91e-05
93,220.232,0.67546,0.51833,1.16987,0.90147,0.98817,0.9849,0.87516,0.52675,0.44048,1.11275,8.92e-05,8.92e-05,8.92e-05
94,221.799,0.57446,0.60207,1.13099,0.90299,0.9919,0.9849,0.88391,0.51368,0.44188,1.10599,7.93e-05,7.93e-05,7.93e-05
95,223.67,0.6981,0.72509,1.22307,0.90299,0.9919,0.9849,0.88391,0.51368,0.44188,1.10599,6.94e-05,6.94e-05,6.94e-05
96,225.264,0.59977,0.55853,0.99354,0.90571,0.9947,0.9849,0.88799,0.50627,0.43761,1.10237,5.95e-05,5.95e-05,5.95e-05
97,226.685,0.78955,0.88582,1.24785,0.90571,0.9947,0.9849,0.88799,0.50627,0.43761,1.10237,4.96e-05,4.96e-05,4.96e-05
98,230.725,0.88245,0.6535,1.39135,0.90847,0.99689,0.9849,0.88646,0.499,0.43448,1.09696,3.97e-05,3.97e-05,3.97e-05
99,232.083,0.45454,0.50647,1.02752,0.90847,0.99689,0.9849,0.88646,0.499,0.43448,1.09696,2.98e-05,2.98e-05,2.98e-05
100,233.458,0.6415,0.64465,1.23614,0.92436,0.99705,0.98667,0.88299,0.49646,0.43448,1.09518,1.99e-05,1.99e-05,1.99e-05
