epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1311,2.53612,7.30394,3.2124,0.00373,0.01562,0.00225,0.00022,2.65039,8.16356,3.29288,1e-05,1e-05,1e-05
2,19.7528,2.91744,6.47874,3.23341,0,0,0,0,2.66372,8.13829,3.32477,2.9703e-05,2.9703e-05,2.9703e-05
3,21.804,2.43894,6.75002,2.71652,0,0,0,0,2.63727,8.00954,3.28767,4.901e-05,4.901e-05,4.901e-05
4,23.1961,2.59603,7.43276,2.755,0.00342,0.01562,0.00225,0.00022,2.6291,7.86329,3.25192,6.7921e-05,6.7921e-05,6.7921e-05
5,24.7233,2.22397,6.99774,2.48435,0.00305,0.01562,0.00238,0.00024,2.58617,7.50341,3.18945,8.6436e-05,8.6436e-05,8.6436e-05
6,26.2229,2.57512,5.55024,2.82479,0.00452,0.05134,0.00371,0.00059,2.5431,7.15263,3.15203,0.000104555,0.000104555,0.000104555
7,27.8486,2.55646,6.20891,2.72505,0.01786,0.01562,0.00557,0.00113,2.50478,6.70885,3.09198,0.000122278,0.000122278,0.000122278
8,29.4808,2.16573,6.31102,2.61962,0.01216,0.15402,0.0126,0.00321,2.29055,6.17328,2.88626,0.000139605,0.000139605,0.000139605
9,31.153,2.17438,5.44872,2.43776,0.02124,0.03125,0.01507,0.00491,2.24581,5.92147,2.85512,0.000156536,0.000156536,0.000156536
10,32.9124,2.12348,5.40216,2.44169,0.03586,0.03125,0.02167,0.00719,2.22561,5.54524,2.84525,0.000173071,0.000173071,0.000173071
11,34.619,2.29293,4.76342,2.53754,0.07324,0.03125,0.03556,0.01168,2.18615,5.20647,2.82113,0.00018921,0.00018921,0.00018921
12,37.8769,2.1093,5.09055,2.42096,0.07645,0.03125,0.05122,0.01711,2.21121,4.81542,2.84182,0.000204953,0.000204953,0.000204953
13,40.0906,2.35257,4.19485,2.67213,0.10219,0.04688,0.07456,0.03007,2.14247,4.46723,2.73494,0.0002203,0.0002203,0.0002203
14,41.5401,2.16326,3.77848,2.47883,0.05394,0.09821,0.10162,0.04072,2.09518,4.09652,2.67287,0.000235251,0.000235251,0.000235251
15,44.2707,1.91051,3.71299,2.19808,0.0685,0.17634,0.13567,0.06116,1.99006,3.68178,2.5393,0.000249806,0.000249806,0.000249806
16,46.0684,1.64679,3.07138,2.05392,0.16913,0.19196,0.19283,0.08477,1.92659,3.3757,2.45465,0.000263965,0.000263965,0.000263965
17,50.1932,1.87553,3.62117,2.32184,0.2008,0.2128,0.26233,0.1161,1.84498,3.11761,2.36001,0.000277728,0.000277728,0.000277728
18,51.6672,2.00395,3.13529,2.08777,0.18209,0.31298,0.28866,0.13857,1.79163,2.84804,2.30179,0.000291095,0.000291095,0.000291095
19,53.3138,1.7,2.77161,2.03392,0.20536,0.32143,0.3178,0.1609,1.70785,2.64071,2.22787,0.000304066,0.000304066,0.000304066
20,54.8136,1.932,2.88974,2.34715,0.20879,0.37113,0.33395,0.17657,1.64626,2.60044,2.16752,0.000316641,0.000316641,0.000316641
21,60.6078,1.96066,2.59951,2.31279,0.24381,0.4308,0.34025,0.17655,1.57694,2.4115,2.1097,0.00032882,0.00032882,0.00032882
22,61.9753,1.38705,2.34353,2.04319,0.25769,0.44568,0.40056,0.19993,1.50833,2.223,2.06819,0.000340603,0.000340603,0.000340603
23,63.6424,1.453,2.10726,1.89631,0.2326,0.44568,0.41055,0.20549,1.4909,2.10015,2.03952,0.00035199,0.00035199,0.00035199
24,65.1491,1.63221,2.32381,1.86035,0.2554,0.47308,0.44489,0.23946,1.47632,2.06051,2.01404,0.000362981,0.000362981,0.000362981
25,66.7373,1.77715,3.03884,2.11362,0.51029,0.61524,0.47807,0.26752,1.4523,2.02115,1.96514,0.000373576,0.000373576,0.000373576
26,70.6763,1.60423,2.02443,1.85428,0.50001,0.57284,0.50636,0.28952,1.44058,2.01198,1.93986,0.000383775,0.000383775,0.000383775
27,72.2225,1.55408,1.97706,1.73084,0.48171,0.66628,0.53475,0.31225,1.40848,2.01731,1.90626,0.000393578,0.000393578,0.000393578
28,73.8874,1.34181,1.95735,1.7222,0.48171,0.66628,0.53475,0.31225,1.40848,2.01731,1.90626,0.000402985,0.000402985,0.000402985
29,75.454,1.45908,1.90382,1.73945,0.4725,0.67515,0.58688,0.36494,1.32709,1.9019,1.83368,0.000411996,0.000411996,0.000411996
30,80.9842,1.34658,1.66955,1.59922,0.51152,0.67515,0.64585,0.42522,1.24046,1.76973,1.7616,0.000420611,0.000420611,0.000420611
31,82.7197,1.49511,1.92672,1.77069,0.51152,0.67515,0.64585,0.42522,1.24046,1.76973,1.7616,0.00042883,0.00042883,0.00042883
32,84.2019,1.20601,1.62498,1.67942,0.58576,0.68039,0.66826,0.44326,1.18536,1.60939,1.71685,0.000436653,0.000436653,0.000436653
33,85.6959,1.34559,1.65628,1.67801,0.64844,0.6433,0.70419,0.48206,1.15072,1.47106,1.68358,0.00044408,0.00044408,0.00044408
34,91.5059,1.31521,1.63868,1.63833,0.64844,0.6433,0.70419,0.48206,1.15072,1.47106,1.68358,0.000451111,0.000451111,0.000451111
35,93.0358,1.47851,1.8527,1.89554,0.67233,0.65639,0.75887,0.51169,1.09703,1.36248,1.63563,0.000457746,0.000457746,0.000457746
36,94.6722,1.41479,1.51575,1.56439,0.75764,0.65622,0.78143,0.52737,1.06169,1.23243,1.59524,0.000463985,0.000463985,0.000463985
37,96.1608,1.36509,1.76853,1.65023,0.75764,0.65622,0.78143,0.52737,1.06169,1.23243,1.59524,0.000469828,0.000469828,0.000469828
38,97.696,1.32503,1.47269,1.69875,0.87787,0.67739,0.81999,0.57482,1.03973,1.13956,1.56564,0.000475275,0.000475275,0.000475275
39,101.531,1.39526,1.51201,1.91529,0.79433,0.69186,0.81793,0.57989,1.02722,1.07631,1.53861,0.000480326,0.000480326,0.000480326
40,103.491,1.1438,1.525,1.50587,0.79433,0.69186,0.81793,0.57989,1.02722,1.07631,1.53861,0.000484981,0.000484981,0.000484981
41,105.134,1.28669,1.34852,1.69035,0.85087,0.73022,0.80781,0.59069,0.99048,1.01427,1.48895,0.00048924,0.00048924,0.00048924
42,106.622,1.06605,1.27705,1.46717,0.85947,0.74157,0.82842,0.60766,0.96152,0.9858,1.45915,0.000493103,0.000493103,0.000493103
43,108.071,0.99652,1.16489,1.39217,0.85947,0.74157,0.82842,0.60766,0.96152,0.9858,1.45915,0.00049657,0.00049657,0.00049657
44,111.744,1.0983,1.16114,1.43934,0.85259,0.73277,0.8401,0.60977,0.91692,0.97443,1.42192,0.000499641,0.000499641,0.000499641
45,115.788,1.08148,1.20847,1.46679,0.85259,0.73277,0.8401,0.60977,0.91692,0.97443,1.42192,0.000502316,0.000502316,0.000502316
46,117.317,1.17494,1.29326,1.50976,0.92912,0.6455,0.84918,0.62233,0.89599,0.9621,1.3896,0.000504595,0.000504595,0.000504595
47,118.918,1.19796,1.41699,1.50174,0.92912,0.6455,0.84918,0.62233,0.89599,0.9621,1.3896,0.000506478,0.000506478,0.000506478
48,120.965,1.27072,1.1852,1.4645,0.81466,0.6843,0.86092,0.63971,0.84308,0.93972,1.35937,0.000507965,0.000507965,0.000507965
49,122.421,0.99394,1.12437,1.34743,0.81466,0.6843,0.86092,0.63971,0.84308,0.93972,1.35937,0.000509056,0.000509056,0.000509056
50,126.139,1.48683,1.66327,2.00791,0.84382,0.69061,0.87128,0.67631,0.80268,0.91034,1.33361,0.000509751,0.000509751,0.000509751
51,127.894,1.55122,1.6963,1.85615,0.84382,0.69061,0.87128,0.67631,0.80268,0.91034,1.33361,0.000505,0.000505,0.000505
52,130.763,1.06862,1.10356,1.41231,0.84203,0.74352,0.88249,0.69721,0.79897,0.89584,1.33073,0.0004951,0.0004951,0.0004951
53,132.224,1.17692,1.32892,1.46978,0.84203,0.74352,0.88249,0.69721,0.79897,0.89584,1.33073,0.0004852,0.0004852,0.0004852
54,135.178,0.88128,1.02468,1.33935,0.79511,0.8198,0.89322,0.70531,0.80559,0.86704,1.31853,0.0004753,0.0004753,0.0004753
55,136.698,1.21991,1.68088,1.56545,0.79511,0.8198,0.89322,0.70531,0.80559,0.86704,1.31853,0.0004654,0.0004654,0.0004654
56,141.905,0.96718,0.93889,1.33397,0.92793,0.81838,0.91978,0.71396,0.81451,0.82328,1.3189,0.0004555,0.0004555,0.0004555
57,143.368,0.9019,1.06545,1.25016,0.92793,0.81838,0.91978,0.71396,0.81451,0.82328,1.3189,0.0004456,0.0004456,0.0004456
58,146.447,1.11383,1.42075,1.45139,0.93763,0.827,0.9369,0.73051,0.80664,0.76103,1.31482,0.0004357,0.0004357,0.0004357
59,148.051,0.90221,0.82681,1.22017,0.93763,0.827,0.9369,0.73051,0.80664,0.76103,1.31482,0.0004258,0.0004258,0.0004258
60,149.789,0.63419,0.88099,1.10123,0.93996,0.83217,0.95012,0.74091,0.76493,0.69248,1.29067,0.0004159,0.0004159,0.0004159
61,151.59,0.97361,1.10807,1.38676,0.93996,0.83217,0.95012,0.74091,0.76493,0.69248,1.29067,0.000406,0.000406,0.000406
62,153.095,1.03697,1.08294,1.44084,0.91218,0.92285,0.96112,0.76232,0.7328,0.63722,1.27068,0.0003961,0.0003961,0.0003961
63,156.412,0.81409,0.89741,1.20058,0.91218,0.92285,0.96112,0.76232,0.7328,0.63722,1.27068,0.0003862,0.0003862,0.0003862
64,157.931,1.17417,1.36372,1.53123,0.93181,0.90502,0.98048,0.79518,0.71454,0.60483,1.24753,0.0003763,0.0003763,0.0003763
65,159.378,0.89003,0.86323,1.22057,0.93181,0.90502,0.98048,0.79518,0.71454,0.60483,1.24753,0.0003664,0.0003664,0.0003664
66,162.189,0.85453,1.15391,1.26046,0.91615,0.94163,0.98833,0.79774,0.6938,0.57855,1.22831,0.0003565,0.0003565,0.0003565
67,163.97,0.88013,0.98377,1.14561,0.91615,0.94163,0.98833,0.79774,0.6938,0.57855,1.22831,0.0003466,0.0003466,0.0003466
68,165.687,1.00942,0.9716,1.30723,0.93489,0.97517,0.99235,0.81489,0.67973,0.54927,1.21378,0.0003367,0.0003367,0.0003367
69,167.233,0.77203,0.91211,1.15437,0.93489,0.97517,0.99235,0.81489,0.67973,0.54927,1.21378,0.0003268,0.0003268,0.0003268
70,168.74,0.83444,0.92354,1.23008,0.93622,0.98412,0.99324,0.82409,0.65936,0.52834,1.19717,0.0003169,0.0003169,0.0003169
71,173.103,0.92111,0.83889,1.2578,0.93622,0.98412,0.99324,0.82409,0.65936,0.52834,1.19717,0.000307,0.000307,0.000307
72,175.132,0.94871,1.48877,1.55361,0.93534,0.93572,0.97895,0.82547,0.63894,0.51068,1.18611,0.0002971,0.0002971,0.0002971
73,176.845,1.20663,1.14439,1.92388,0.93534,0.93572,0.97895,0.82547,0.63894,0.51068,1.18611,0.0002872,0.0002872,0.0002872
74,178.401,0.82349,0.99414,1.29943,0.94094,0.93278,0.97895,0.84193,0.61727,0.50518,1.17089,0.0002773,0.0002773,0.0002773
75,183.322,0.77035,0.7767,1.18592,0.94094,0.93278,0.97895,0.84193,0.61727,0.50518,1.17089,0.0002674,0.0002674,0.0002674
76,184.929,0.80507,0.8939,1.19001,0.94584,0.91875,0.97895,0.84781,0.60591,0.49451,1.1663,0.0002575,0.0002575,0.0002575
77,187.142,0.77868,0.84553,1.19672,0.94584,0.91875,0.97895,0.84781,0.60591,0.49451,1.1663,0.0002476,0.0002476,0.0002476
78,188.907,0.85133,0.80509,1.32559,0.95162,0.91875,0.98333,0.8537,0.60322,0.49809,1.16328,0.0002377,0.0002377,0.0002377
79,193.581,0.74186,0.73672,1.18749,0.95162,0.91875,0.98333,0.8537,0.60322,0.49809,1.16328,0.0002278,0.0002278,0.0002278
80,195.226,0.68854,0.74858,1.13399,0.95314,0.91875,0.98333,0.85465,0.59499,0.49312,1.1591,0.0002179,0.0002179,0.0002179
81,196.892,0.81127,0.75756,1.20367,0.95314,0.91875,0.98333,0.85465,0.59499,0.49312,1.1591,0.000208,0.000208,0.000208
82,198.693,0.92438,0.9013,1.31972,0.88126,1,0.98333,0.85871,0.58703,0.48428,1.15451,0.0001981,0.0001981,0.0001981
83,200.452,0.89327,0.8595,1.15154,0.88126,1,0.98333,0.85871,0.58703,0.48428,1.15451,0.0001882,0.0001882,0.0001882
