epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,102.315,1.23083,1.39518,1.52851,0.85412,0.62492,0.71504,0.52661,1.09515,1.04699,1.54547,0.000754776,0.000754776,0.000754776
26,105.783,1.19868,1.39836,1.56497,0.85478,0.64748,0.71645,0.52407,1.08013,1.04659,1.54242,0.0007525,0.0007525,0.0007525
27,109.79,1.13533,1.39164,1.5033,0.84992,0.62838,0.72245,0.53111,1.0757,1.04072,1.54228,0.0007426,0.0007426,0.0007426
28,113.175,1.20634,1.33484,1.55433,0.79983,0.65256,0.73866,0.54902,1.03402,0.99066,1.50511,0.0007327,0.0007327,0.0007327
29,119.776,1.09617,1.16845,1.46507,0.85317,0.64345,0.75925,0.56475,0.98672,0.94885,1.4759,0.0007228,0.0007228,0.0007228
30,123.208,1.18726,1.17787,1.47664,0.88119,0.69697,0.77318,0.59931,0.94678,0.93333,1.44982,0.0007129,0.0007129,0.0007129
31,126.629,1.21849,1.30727,1.52486,0.86381,0.68811,0.76024,0.60049,0.94845,0.9959,1.4466,0.000703,0.000703,0.000703
32,130.057,1.07122,1.10923,1.39743,0.86704,0.66719,0.75551,0.58718,0.94844,0.9984,1.44128,0.0006931,0.0006931,0.0006931
33,133.72,1.09537,1.13691,1.42063,0.8557,0.67492,0.7711,0.60164,0.94451,0.97021,1.42854,0.0006832,0.0006832,0.0006832
34,137.1,1.09688,1.15047,1.37833,0.85788,0.68941,0.78406,0.61303,0.92458,0.89907,1.40313,0.0006733,0.0006733,0.0006733
35,140.457,1.05438,1.08808,1.42266,0.77021,0.75758,0.81072,0.63715,0.90576,0.83545,1.38541,0.0006634,0.0006634,0.0006634
36,144.27,0.93254,0.89798,1.27981,0.81048,0.81517,0.86204,0.67445,0.90532,0.77027,1.37266,0.0006535,0.0006535,0.0006535
37,147.646,1.1309,1.17086,1.45564,0.84966,0.79851,0.87213,0.68076,0.91589,0.74447,1.36656,0.0006436,0.0006436,0.0006436
38,151.289,1.10526,1.00901,1.36654,0.90661,0.79929,0.89393,0.68843,0.92113,0.73626,1.36329,0.0006337,0.0006337,0.0006337
39,156.476,1.05306,1.04334,1.41217,0.88665,0.80577,0.9034,0.69207,0.92641,0.74608,1.36278,0.0006238,0.0006238,0.0006238
40,159.866,0.95184,0.9907,1.32629,0.87829,0.76342,0.88762,0.68657,0.91333,0.76505,1.36012,0.0006139,0.0006139,0.0006139
41,163.183,1.01074,1.08355,1.34994,0.95658,0.72488,0.90084,0.70539,0.9009,0.74875,1.3514,0.000604,0.000604,0.000604
42,166.719,1.00608,1.00051,1.34355,0.8626,0.78299,0.90185,0.70455,0.89204,0.73499,1.34703,0.0005941,0.0005941,0.0005941
43,170.386,0.96331,1.01503,1.34094,0.82465,0.87231,0.91536,0.7082,0.86872,0.7164,1.33158,0.0005842,0.0005842,0.0005842
44,173.836,1.08519,1.0196,1.37469,0.85001,0.79163,0.91364,0.71229,0.83301,0.6999,1.3,0.0005743,0.0005743,0.0005743
45,177.204,0.935,0.97276,1.33386,0.92163,0.75632,0.91587,0.72366,0.81406,0.69349,1.28256,0.0005644,0.0005644,0.0005644
46,183.151,1.00741,0.99876,1.35548,0.92314,0.76515,0.91828,0.7346,0.78935,0.68097,1.26499,0.0005545,0.0005545,0.0005545
47,186.565,0.94079,0.92894,1.31555,0.92592,0.82578,0.93115,0.74807,0.76972,0.63868,1.24467,0.0005446,0.0005446,0.0005446
48,190.296,0.88747,0.88486,1.25504,0.92042,0.82086,0.92306,0.7498,0.76187,0.61339,1.2267,0.0005347,0.0005347,0.0005347
49,194.51,1.0263,1.00467,1.41703,0.91743,0.81693,0.92984,0.76084,0.75503,0.59944,1.21833,0.0005248,0.0005248,0.0005248
50,197.896,0.96671,0.98561,1.30693,0.90927,0.83269,0.93413,0.76484,0.75281,0.59213,1.21457,0.0005149,0.0005149,0.0005149
51,201.326,0.94658,0.88661,1.32293,0.86956,0.87843,0.94274,0.76496,0.74343,0.59122,1.20529,0.000505,0.000505,0.000505
52,207.736,0.87978,0.83562,1.24088,0.96332,0.86338,0.94822,0.76729,0.72479,0.5736,1.18738,0.0004951,0.0004951,0.0004951
53,211.144,0.93468,0.92748,1.29617,0.93822,0.90728,0.96369,0.77256,0.71177,0.55031,1.17339,0.0004852,0.0004852,0.0004852
54,214.854,0.90146,0.86653,1.26553,0.94697,0.9593,0.97006,0.78267,0.70342,0.52552,1.15734,0.0004753,0.0004753,0.0004753
55,218.444,0.8583,0.80353,1.26872,0.96066,0.95149,0.97121,0.79019,0.69034,0.50349,1.14505,0.0004654,0.0004654,0.0004654
56,223.098,0.85482,0.73407,1.24408,0.91011,0.96194,0.96861,0.79628,0.67488,0.4936,1.13805,0.0004555,0.0004555,0.0004555
57,226.834,0.8496,0.80426,1.24128,0.91185,0.95394,0.96957,0.80436,0.66738,0.48906,1.13289,0.0004456,0.0004456,0.0004456
58,230.587,0.8111,0.71915,1.18755,0.97613,0.92437,0.98014,0.81398,0.66092,0.47844,1.12579,0.0004357,0.0004357,0.0004357
59,234.836,0.84634,0.86275,1.2236,0.98147,0.92238,0.98091,0.8201,0.6422,0.47015,1.11037,0.0004258,0.0004258,0.0004258
60,238.418,0.8293,0.79278,1.20161,0.95682,0.9186,0.98141,0.82321,0.63265,0.46388,1.10442,0.0004159,0.0004159,0.0004159
61,242.145,0.87042,0.80475,1.24774,0.94742,0.91004,0.98439,0.8235,0.62031,0.45831,1.09368,0.000406,0.000406,0.000406
62,245.665,0.83762,0.73046,1.18869,0.95838,0.92791,0.98114,0.82804,0.61282,0.45132,1.0863,0.0003961,0.0003961,0.0003961
63,249.035,0.8323,0.76676,1.2167,0.98529,0.92223,0.98468,0.83912,0.60662,0.44194,1.08121,0.0003862,0.0003862,0.0003862
64,254.904,0.74557,0.7139,1.16218,0.9848,0.93264,0.98468,0.8503,0.59775,0.43466,1.07529,0.0003763,0.0003763,0.0003763
65,258.306,0.80602,0.72228,1.18587,0.96216,0.94031,0.98468,0.84805,0.58721,0.42926,1.07072,0.0003664,0.0003664,0.0003664
66,261.662,0.90922,0.80418,1.24539,0.96426,0.94174,0.98468,0.85248,0.58596,0.4286,1.06867,0.0003565,0.0003565,0.0003565
67,265.465,0.82141,0.76817,1.21293,0.95456,0.94316,0.98439,0.8449,0.58896,0.42899,1.06963,0.0003466,0.0003466,0.0003466
68,268.73,0.77509,0.65818,1.14963,0.90436,0.98128,0.98379,0.84066,0.59111,0.42379,1.07143,0.0003367,0.0003367,0.0003367
69,272.222,0.80682,0.69268,1.21125,0.96935,0.91286,0.98415,0.84724,0.592,0.41891,1.07179,0.0003268,0.0003268,0.0003268
70,275.854,0.77188,0.73662,1.18879,0.97237,0.9062,0.98422,0.84716,0.59399,0.41829,1.07023,0.0003169,0.0003169,0.0003169
71,279.202,0.83151,0.78908,1.23075,0.97172,0.90604,0.98422,0.84955,0.59286,0.41631,1.0689,0.000307,0.000307,0.000307
72,282.572,0.78581,0.70498,1.17084,0.92933,0.95807,0.98471,0.85486,0.58617,0.41118,1.06316,0.0002971,0.0002971,0.0002971
73,286.199,0.80945,0.80013,1.19174,0.93275,0.95891,0.98471,0.85504,0.58208,0.40504,1.05966,0.0002872,0.0002872,0.0002872
74,289.938,0.80374,0.81098,1.16599,0.93315,0.95984,0.98173,0.85365,0.57744,0.3994,1.05363,0.0002773,0.0002773,0.0002773
75,293.19,0.74764,0.71009,1.15824,0.94985,0.94885,0.98173,0.85502,0.57108,0.39598,1.04718,0.0002674,0.0002674,0.0002674
76,296.469,0.83271,0.81789,1.25766,0.95356,0.95255,0.98471,0.86163,0.56224,0.39188,1.04027,0.0002575,0.0002575,0.0002575
77,300.178,0.80573,0.78644,1.18993,0.95972,0.9491,0.98471,0.85934,0.55718,0.38762,1.03608,0.0002476,0.0002476,0.0002476
78,303.449,0.7949,0.70959,1.18949,0.9757,0.94287,0.98494,0.86503,0.55244,0.38756,1.03222,0.0002377,0.0002377,0.0002377
79,306.96,0.71593,0.65148,1.12589,0.97827,0.94659,0.98494,0.87288,0.54906,0.38637,1.02908,0.0002278,0.0002278,0.0002278
80,310.494,0.82986,0.76966,1.2613,0.98248,0.94895,0.98494,0.87289,0.54392,0.3877,1.02509,0.0002179,0.0002179,0.0002179
81,314.938,0.67542,0.61733,1.09583,0.9775,0.94997,0.98494,0.87963,0.53962,0.38227,1.02294,0.000208,0.000208,0.000208
82,318.376,0.76139,0.80511,1.16899,0.98353,0.94951,0.98494,0.87317,0.53434,0.37576,1.01752,0.0001981,0.0001981,0.0001981
83,321.63,0.80246,0.75014,1.22443,0.9841,0.94929,0.9852,0.86949,0.52614,0.37207,1.01286,0.0001882,0.0001882,0.0001882
84,325.404,0.75628,0.69376,1.17711,0.98566,0.94722,0.98494,0.87546,0.51915,0.36841,1.00901,0.0001783,0.0001783,0.0001783
85,328.725,0.74247,0.74325,1.17302,0.98579,0.94502,0.9852,0.87771,0.51542,0.36433,1.00542,0.0001684,0.0001684,0.0001684
86,331.994,0.66531,0.63835,1.11052,0.98538,0.94039,0.9852,0.87593,0.511,0.36141,1.00168,0.0001585,0.0001585,0.0001585
87,335.559,0.72083,0.74061,1.12927,0.97988,0.93845,0.9852,0.87962,0.50856,0.35986,0.99988,0.0001486,0.0001486,0.0001486
88,339.041,0.72804,0.69645,1.13693,0.95168,0.95906,0.9852,0.88215,0.50791,0.35624,0.99827,0.0001387,0.0001387,0.0001387
89,342.416,0.76492,0.73103,1.24549,0.94898,0.95864,0.9852,0.88171,0.5063,0.35455,0.99581,0.0001288,0.0001288,0.0001288
90,345.982,0.72786,0.65254,1.15799,0.92646,0.99983,0.9852,0.8824,0.50507,0.35353,0.99383,0.0001189,0.0001189,0.0001189
91,350.306,0.70015,0.5703,1.18303,0.92828,1,0.9852,0.88308,0.5005,0.35187,0.98912,0.000109,0.000109,0.000109
92,353.874,0.6851,0.53179,1.17878,0.95739,0.99235,0.98917,0.88866,0.49537,0.35089,0.98583,9.91e-05,9.91e-05,9.91e-05
93,357.195,0.60372,0.48193,1.08969,0.95637,0.99315,0.98917,0.88559,0.4918,0.34838,0.98309,8.92e-05,8.92e-05,8.92e-05
94,360.726,0.59308,0.5245,1.07419,0.95325,0.9935,0.98917,0.89017,0.48872,0.34603,0.98175,7.93e-05,7.93e-05,7.93e-05
95,364.103,0.66858,0.55498,1.14458,0.95256,0.99196,0.98917,0.88459,0.48682,0.34465,0.97999,6.94e-05,6.94e-05,6.94e-05
96,367.304,0.52386,0.39738,1.01622,0.95295,0.98978,0.98917,0.88451,0.48581,0.34388,0.97885,5.95e-05,5.95e-05,5.95e-05
97,370.571,0.57382,0.46902,1.07702,0.95343,0.98787,0.98944,0.88839,0.48409,0.34239,0.97758,4.96e-05,4.96e-05,4.96e-05
98,374.249,0.57638,0.48349,1.07226,0.95383,0.98594,0.98944,0.88914,0.48311,0.33784,0.9764,3.97e-05,3.97e-05,3.97e-05
99,377.467,0.52879,0.42599,1.00274,0.95409,0.9847,0.98944,0.88879,0.48125,0.33858,0.97562,2.98e-05,2.98e-05,2.98e-05
100,380.784,0.63001,0.48771,1.11632,0.95401,0.98337,0.98944,0.88794,0.48022,0.33671,0.97396,1.99e-05,1.99e-05,1.99e-05
