epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5653,1.64892,2.37339,2.00667,0.83336,0.27868,0.3179,0.23124,1.99754,2.70861,2.7672,3e-05,3e-05,3e-05
2,18.0587,1.82697,2.64734,2.16199,0.88345,0.26807,0.32107,0.23377,1.97219,2.59519,2.70336,6.9307e-05,6.9307e-05,6.9307e-05
3,21.6398,1.623,2.00138,1.99038,0.90166,0.26866,0.33244,0.23663,1.84673,2.42266,2.5538,0.000107822,0.000107822,0.000107822
4,25.4777,1.8206,2.33987,2.16055,0.78334,0.32047,0.34875,0.23956,1.73962,2.34106,2.38349,0.000145545,0.000145545,0.000145545
5,28.9809,1.55294,2.12403,1.89339,0.79284,0.32047,0.36516,0.24444,1.68701,2.31396,2.29546,0.000182476,0.000182476,0.000182476
6,32.6757,1.58286,2.17462,1.86881,0.72668,0.36908,0.36581,0.24704,1.65898,2.29049,2.23844,0.000218615,0.000218615,0.000218615
7,37.1313,1.62175,1.97208,1.92544,0.75125,0.37602,0.37696,0.25219,1.6092,2.26399,2.16847,0.000253962,0.000253962,0.000253962
8,40.5524,1.56636,2.08499,1.86747,0.75663,0.37175,0.39181,0.25534,1.5725,2.18986,2.10725,0.000288517,0.000288517,0.000288517
9,44.0094,1.52475,2.04771,1.88564,0.77752,0.38297,0.41255,0.25868,1.52392,2.13642,2.03662,0.00032228,0.00032228,0.00032228
10,47.9358,1.46791,1.87516,1.75222,0.78006,0.38884,0.41697,0.26521,1.49841,2.09033,1.99163,0.000355251,0.000355251,0.000355251
11,51.3895,1.39062,1.82832,1.70819,0.77863,0.40433,0.42884,0.27851,1.46117,2.01656,1.94788,0.00038743,0.00038743,0.00038743
12,54.8274,1.27336,1.79034,1.58993,0.79532,0.40641,0.43648,0.28326,1.45508,1.94962,1.93605,0.000418817,0.000418817,0.000418817
13,58.5211,1.39297,1.70881,1.679,0.7948,0.407,0.45749,0.30801,1.4241,1.83498,1.9034,0.000449412,0.000449412,0.000449412
14,62.1579,1.32595,1.78249,1.67293,0.78923,0.40346,0.47824,0.32796,1.4012,1.74988,1.88201,0.000479215,0.000479215,0.000479215
15,65.577,1.48141,1.87058,1.7123,0.79071,0.45485,0.50465,0.35065,1.35765,1.57565,1.84371,0.000508226,0.000508226,0.000508226
16,70.3197,1.35868,1.64012,1.6448,0.82708,0.45682,0.54798,0.38179,1.33891,1.47682,1.82258,0.000536445,0.000536445,0.000536445
17,74.232,1.39086,1.79424,1.6293,0.79125,0.47668,0.56488,0.38924,1.31776,1.42356,1.80279,0.000563872,0.000563872,0.000563872
18,77.7014,1.30443,1.57952,1.5651,0.76312,0.4792,0.57616,0.39608,1.30763,1.36434,1.7842,0.000590507,0.000590507,0.000590507
19,81.0996,1.28845,1.53895,1.5833,0.62653,0.52653,0.58808,0.40508,1.29668,1.32988,1.76513,0.00061635,0.00061635,0.00061635
20,84.9677,1.37767,1.59417,1.6407,0.71806,0.51488,0.59673,0.40795,1.29033,1.29984,1.75162,0.000641401,0.000641401,0.000641401
21,88.3849,1.27672,1.5375,1.60503,0.80036,0.51329,0.62266,0.43605,1.26781,1.23084,1.71552,0.00066566,0.00066566,0.00066566
22,91.7566,1.27692,1.43158,1.58354,0.79603,0.53642,0.63974,0.45881,1.21543,1.1473,1.65353,0.000689127,0.000689127,0.000689127
23,95.4722,1.29675,1.41881,1.59515,0.81476,0.55719,0.68034,0.49628,1.15252,1.09154,1.59121,0.000711802,0.000711802,0.000711802
24,98.8357,1.17465,1.29164,1.45337,0.83023,0.58498,0.69876,0.51245,1.11748,1.06105,1.55653,0.000733685,0.000733685,0.000733685
